id,doctor_id,date,start_time,finish_time
1,1,2024-04-06,11:30:00,12:00:00
2,1,2024-04-19,19:30:00,20:00:00
3,1,2024-04-24,13:30:00,14:00:00
4,1,2024-04-19,13:00:00,13:30:00
5,1,2024-04-23,14:30:00,15:00:00
6,1,2024-04-21,17:00:00,17:30:00
7,1,2024-04-29,20:00:00,20:30:00
8,1,2024-04-06,10:30:00,11:00:00
9,1,2024-04-09,09:30:00,10:00:00
10,1,2024-04-19,16:00:00,16:30:00
11,1,2024-04-07,17:30:00,18:00:00
12,1,2024-04-13,18:00:00,18:30:00
13,1,2024-04-09,20:30:00,21:00:00
14,1,2024-04-25,20:30:00,21:00:00
15,1,2024-04-30,12:00:00,12:30:00
16,1,2024-05-25,17:00:00,17:30:00
17,1,2024-05-15,16:30:00,17:00:00
18,1,2024-05-27,08:00:00,08:30:00
19,1,2024-05-29,14:00:00,14:30:00
20,1,2024-05-20,13:30:00,14:00:00
21,1,2024-05-19,08:00:00,08:30:00
22,1,2024-05-19,09:30:00,10:00:00
23,1,2024-05-24,11:30:00,12:00:00
24,1,2024-05-29,14:30:00,15:00:00
25,1,2024-05-03,16:30:00,17:00:00
26,1,2024-05-09,21:30:00,22:00:00
27,1,2024-05-26,20:30:00,21:00:00
28,1,2024-05-21,18:00:00,18:30:00
29,1,2024-06-08,09:00:00,09:30:00
30,1,2024-06-06,15:00:00,15:30:00
31,1,2024-06-01,16:30:00,17:00:00
32,1,2024-06-04,12:00:00,12:30:00
33,1,2024-06-11,11:00:00,11:30:00
34,1,2024-06-05,10:00:00,10:30:00
35,1,2024-06-25,14:00:00,14:30:00
36,1,2024-06-21,21:30:00,22:00:00
37,1,2024-06-30,16:30:00,17:00:00
38,1,2024-06-24,14:30:00,15:00:00
39,1,2024-06-13,21:30:00,22:00:00
40,1,2024-06-12,14:00:00,14:30:00
41,1,2024-06-05,19:30:00,20:00:00
42,1,2024-06-16,11:00:00,11:30:00
43,1,2024-06-05,15:00:00,15:30:00
44,1,2024-06-30,08:00:00,08:30:00
45,1,2024-06-18,12:30:00,13:00:00
46,1,2024-06-03,13:00:00,13:30:00
47,1,2024-06-26,21:00:00,21:30:00
48,1,2024-07-17,13:00:00,13:30:00
49,1,2024-07-23,09:30:00,10:00:00
50,1,2024-07-26,11:30:00,12:00:00
51,1,2024-07-12,12:30:00,13:00:00
52,1,2024-07-27,08:30:00,09:00:00
53,1,2024-07-06,16:00:00,16:30:00
54,1,2024-07-12,18:00:00,18:30:00
55,1,2024-07-18,11:00:00,11:30:00
56,1,2024-07-01,15:30:00,16:00:00
57,1,2024-07-16,17:00:00,17:30:00
58,1,2024-07-16,15:00:00,15:30:00
59,1,2024-07-13,12:30:00,13:00:00
60,1,2024-07-22,11:00:00,11:30:00
61,2,2024-04-04,08:30:00,09:00:00
62,2,2024-04-03,12:30:00,13:00:00
63,2,2024-04-29,09:30:00,10:00:00
64,2,2024-04-25,17:30:00,18:00:00
65,2,2024-05-01,10:00:00,10:30:00
66,2,2024-04-08,12:30:00,13:00:00
67,2,2024-04-09,14:30:00,15:00:00
68,2,2024-04-14,18:00:00,18:30:00
69,2,2024-04-22,16:30:00,17:00:00
70,2,2024-04-18,13:30:00,14:00:00
71,2,2024-04-18,16:00:00,16:30:00
72,2,2024-04-02,08:00:00,08:30:00
73,2,2024-04-06,14:30:00,15:00:00
74,2,2024-04-24,08:30:00,09:00:00
75,2,2024-04-28,12:30:00,13:00:00
76,2,2024-05-01,14:30:00,15:00:00
77,2,2024-04-27,10:30:00,11:00:00
78,2,2024-04-15,18:30:00,19:00:00
79,2,2024-04-08,10:30:00,11:00:00
80,2,2024-04-03,14:00:00,14:30:00
81,2,2024-05-25,17:30:00,18:00:00
82,2,2024-05-22,14:30:00,15:00:00
83,2,2024-05-29,11:30:00,12:00:00
84,2,2024-05-27,16:00:00,16:30:00
85,2,2024-05-14,18:00:00,18:30:00
86,2,2024-05-26,08:30:00,09:00:00
87,2,2024-05-21,18:00:00,18:30:00
88,2,2024-05-28,20:00:00,20:30:00
89,2,2024-05-09,11:30:00,12:00:00
90,2,2024-05-22,17:00:00,17:30:00
91,2,2024-05-12,11:30:00,12:00:00
92,2,2024-05-15,12:00:00,12:30:00
93,2,2024-05-14,12:00:00,12:30:00
94,2,2024-05-13,16:00:00,16:30:00
95,2,2024-05-10,21:00:00,21:30:00
96,2,2024-05-14,09:00:00,09:30:00
97,2,2024-05-12,09:30:00,10:00:00
98,2,2024-06-10,21:30:00,22:00:00
99,2,2024-06-22,09:00:00,09:30:00
100,2,2024-06-01,16:00:00,16:30:00
101,2,2024-06-18,09:30:00,10:00:00
102,2,2024-06-26,16:00:00,16:30:00
103,2,2024-06-04,17:00:00,17:30:00
104,2,2024-06-17,18:30:00,19:00:00
105,2,2024-06-28,14:30:00,15:00:00
106,2,2024-06-04,08:00:00,08:30:00
107,2,2024-06-23,09:30:00,10:00:00
108,2,2024-06-27,13:30:00,14:00:00
109,2,2024-06-17,19:30:00,20:00:00
110,2,2024-06-10,15:00:00,15:30:00
111,2,2024-06-23,09:30:00,10:00:00
112,2,2024-06-05,16:30:00,17:00:00
113,2,2024-06-07,18:30:00,19:00:00
114,2,2024-06-26,15:00:00,15:30:00
115,2,2024-06-24,14:00:00,14:30:00
116,2,2024-07-27,20:00:00,20:30:00
117,2,2024-07-26,13:30:00,14:00:00
118,2,2024-07-24,13:30:00,14:00:00
119,2,2024-07-23,19:30:00,20:00:00
120,2,2024-07-11,17:30:00,18:00:00
121,2,2024-07-23,20:00:00,20:30:00
122,2,2024-07-26,18:30:00,19:00:00
123,2,2024-07-12,15:30:00,16:00:00
124,2,2024-07-23,08:30:00,09:00:00
125,2,2024-07-26,09:30:00,10:00:00
126,2,2024-07-01,19:30:00,20:00:00
127,2,2024-07-10,20:00:00,20:30:00
128,2,2024-07-12,15:30:00,16:00:00
129,2,2024-07-26,10:30:00,11:00:00
130,2,2024-07-20,20:30:00,21:00:00
131,2,2024-07-22,21:30:00,22:00:00
132,2,2024-07-22,14:00:00,14:30:00
133,3,2024-04-07,11:00:00,11:30:00
134,3,2024-04-22,19:30:00,20:00:00
135,3,2024-04-11,16:30:00,17:00:00
136,3,2024-04-25,10:30:00,11:00:00
137,3,2024-04-07,12:30:00,13:00:00
138,3,2024-04-26,16:30:00,17:00:00
139,3,2024-04-11,17:00:00,17:30:00
140,3,2024-04-24,21:00:00,21:30:00
141,3,2024-04-14,11:00:00,11:30:00
142,3,2024-04-18,13:00:00,13:30:00
143,3,2024-04-11,15:30:00,16:00:00
144,3,2024-05-01,19:30:00,20:00:00
145,3,2024-04-11,18:30:00,19:00:00
146,3,2024-04-23,20:30:00,21:00:00
147,3,2024-04-30,19:00:00,19:30:00
148,3,2024-04-08,11:30:00,12:00:00
149,3,2024-04-12,18:00:00,18:30:00
150,3,2024-04-15,11:00:00,11:30:00
151,3,2024-04-28,11:30:00,12:00:00
152,3,2024-05-15,16:00:00,16:30:00
153,3,2024-05-31,12:30:00,13:00:00
154,3,2024-05-15,09:30:00,10:00:00
155,3,2024-05-09,09:00:00,09:30:00
156,3,2024-05-15,13:30:00,14:00:00
157,3,2024-05-05,15:00:00,15:30:00
158,3,2024-05-16,14:30:00,15:00:00
159,3,2024-05-13,11:30:00,12:00:00
160,3,2024-05-12,14:00:00,14:30:00
161,3,2024-05-07,14:30:00,15:00:00
162,3,2024-05-29,21:00:00,21:30:00
163,3,2024-05-04,14:00:00,14:30:00
164,3,2024-06-25,16:00:00,16:30:00
165,3,2024-06-10,15:30:00,16:00:00
166,3,2024-06-15,21:30:00,22:00:00
167,3,2024-06-11,10:30:00,11:00:00
168,3,2024-06-09,17:00:00,17:30:00
169,3,2024-06-06,18:00:00,18:30:00
170,3,2024-06-29,14:00:00,14:30:00
171,3,2024-06-05,14:30:00,15:00:00
172,3,2024-06-15,20:30:00,21:00:00
173,3,2024-06-23,18:00:00,18:30:00
174,3,2024-06-06,21:00:00,21:30:00
175,3,2024-06-28,13:30:00,14:00:00
176,3,2024-06-21,11:30:00,12:00:00
177,3,2024-07-09,09:00:00,09:30:00
178,3,2024-07-08,11:30:00,12:00:00
179,3,2024-07-23,17:00:00,17:30:00
180,3,2024-07-27,12:30:00,13:00:00
181,3,2024-07-21,14:30:00,15:00:00
182,3,2024-07-05,17:00:00,17:30:00
183,3,2024-07-21,16:30:00,17:00:00
184,3,2024-07-05,17:00:00,17:30:00
185,3,2024-07-05,09:30:00,10:00:00
186,3,2024-07-11,13:00:00,13:30:00
187,4,2024-04-14,20:30:00,21:00:00
188,4,2024-04-05,20:30:00,21:00:00
189,4,2024-04-04,14:30:00,15:00:00
190,4,2024-04-08,08:30:00,09:00:00
191,4,2024-04-11,13:00:00,13:30:00
192,4,2024-04-21,09:30:00,10:00:00
193,4,2024-04-27,11:00:00,11:30:00
194,4,2024-04-22,11:30:00,12:00:00
195,4,2024-04-09,17:00:00,17:30:00
196,4,2024-04-21,13:00:00,13:30:00
197,4,2024-04-30,12:00:00,12:30:00
198,4,2024-04-04,08:30:00,09:00:00
199,4,2024-04-07,21:30:00,22:00:00
200,4,2024-04-04,10:30:00,11:00:00
201,4,2024-04-22,21:00:00,21:30:00
202,4,2024-04-16,20:30:00,21:00:00
203,4,2024-04-20,11:30:00,12:00:00
